Descrição;Média Mensal
Serviços especializados para construção não especificados anteriormente;1
Comércio varejista de artigos do vestuário e acessórios;1.818181818
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;19
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Comércio varejista de artigos do vestuário e acessórios;1
Laboratórios clínicos;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Comércio atacadista de resíduos e sucatas metálicos;1
Restaurantes e similares;1
Recuperação de materiais plásticos;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1.181818182
Fabricação de produtos de trefilados de metal, exceto padronizados;1
Incorporação de empreendimentos imobiliários;1.5
Comércio atacadista de leite e laticínios;1
Comércio varejista de móveis;1
Incorporação de empreendimentos imobiliários;2
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.652173913
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.65
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.25
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.125
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.40625
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.235294118
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1.125
Transporte rodoviário de produtos perigosos;1
Outras atividades de atenção à saúde humana não especificadas anteriormente;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1.333333333
Edição de jornais diários;1
Educação superior - graduação;3
Ensino fundamental;1
Atividades de apoio à educação, exceto caixas escolares;1
Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;1
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2
Fabricação de produtos de panificação industrial;1
Comércio atacadista de cimento;1.5
Atividades de contabilidade;1
Restaurantes e similares;9
Manutenção de redes de distribuição de energia elétrica;70.5
Manutenção de redes de distribuição de energia elétrica;1
Atividade odontológica;1
Atividades de monitoramento de sistemas de segurança eletrônico;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
Comércio varejista de artigos do vestuário e acessórios;13.5
Tratamento e disposição de resíduos perigosos;1.666666667
Restaurantes e similares;4.03125
Incorporação de empreendimentos imobiliários;13.42857143
Comércio varejista de artigos do vestuário e acessórios;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;1
Comércio varejista de brinquedos e artigos recreativos;1
Fabricação de águas envasadas;1
Serviços especializados para construção não especificados anteriormente;1.5
Construção de edifícios;1
Comércio varejista de brinquedos e artigos recreativos;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;1
Fabricação de móveis com predominância de madeira;1
Restaurantes e similares;1
Restaurantes e similares;1
Obras de terraplenagem;2
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;2.5
Comércio varejista de suvenires, bijuterias e artesanatos;1
Atividades de apoio à gestão de saúde;1.5
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2
Limpeza em prédios e em domicílios;1
Incorporação de empreendimentos imobiliários;1
Instalações de sistema de prevenção contra incêndio;1
Fornecimento de alimentos preparados preponderantemente para empresas;1.333333333
Padaria e confeitaria com predominância de revenda;10
Serviços combinados de escritório e apoio administrativo;1.25
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Fabricação de equipamentos para irrigação agrícola, peças e acessórios;1
Comércio varejista de produtos saneantes domissanitários;1
Lanchonetes, casas de chá, de sucos e similares;1
Comércio varejista de móveis;1.794871795
Comércio varejista de móveis;1
Serviços de manutenção e reparação mecânica de veículos automotores;1
Fabricação de artefatos de fibrocimento para uso na construção;1
Comércio varejista de artigos do vestuário e acessórios;1
Telefonia móvel celular;1
Atividades de cobranças e informações cadastrais;1.666666667
Comércio varejista de combustíveis para veículos automotores;2
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;1
Fabricação de chapas e de embalagens de papelão ondulado;1
Comércio varejista de calçados;1
Comércio varejista de mercadorias em lojas de conveniência;1
Educação superior - graduação;1
Cantinas - serviços de alimentação privativos;1.5
Tratamento e disposição de resíduos não-perigosos;9.181818182
Comércio varejista de calçados;1
Comércio atacadista de cosméticos e produtos de perfumaria;1
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;13
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Restaurantes e similares;24
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;1
Comércio atacadista de sorvetes;1
Construção de edifícios;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Restaurantes e similares;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Atividades de organizações religiosas ou filosóficas;1
Construção de edifícios;1.666666667
Comércio varejista de bebidas;6
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;14.5
Fabricação de móveis com predominância de madeira;2.21875
Guarda-móveis;1.230769231
Serviços combinados de escritório e apoio administrativo;2
Obras de urbanização - ruas, praças e calçadas;1
Obras de alvenaria;1
Treinamento em desenvolvimento profissional e gerencial;1
Construção de edifícios;1
Comércio atacadista de resíduos de papel e papelão;1
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Serviços de manutenção e reparação mecânica de veículos automotores;1
Preparação de massa de concreto e argamassa para construção;1
Serviços combinados de escritório e apoio administrativo;1
Serviços de funerárias;1
Limpeza em prédios e em domicílios;1.166666667
Comércio varejista de suvenires, bijuterias e artesanatos;4
Condomínios prediais;1
Outras obras de acabamento da construção;1
Outras atividades de serviços pessoais não especificadas anteriormente;1.5
Comércio varejista de artigos do vestuário e acessórios;1
Atividades de cobranças e informações cadastrais;1
Fabricação de móveis com predominância de madeira;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1
Operadoras de televisão por assinatura por cabo;1
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;1
Comércio varejista de combustíveis para veículos automotores;1
Serviços combinados de escritório e apoio administrativo;2.5
Hotéis;4.533333333
Comércio varejista de artigos do vestuário e acessórios;4
Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1.5
Desenvolvimento e licenciamento de programas de computador customizáveis;1
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1.666666667
Comércio varejista de mercadorias em lojas de conveniência;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Limpeza em prédios e em domicílios;1.5
Fabricação de outros produtos têxteis não especificados anteriormente;2.736842105
